ft,bt,km,transmission,ownerNo,oem,model,modelYear,variantName,price,Registration Year,Insurance_Type,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Mileage kmpl,Engine CC,seater,City
Diesel,Sedan,59000,Automatic,1,Audi,Audi A6,2015,35 TDI,209000.0,2016,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,18.53,1968,5.0,Bangalore
Petrol,Hatchback,18835,Manual,1,Maruti,Maruti Alto 800,2021,VXI Plus BSVI,41100.0,2021,Zero Dep,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Radio,22.05,796,,Bangalore
Diesel,SUV,120000,Manual,2,Mahindra,Mahindra Scorpio,2010,SLE 7S BSIII,65000.0,2010,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,,12.05,2179,7.0,Bangalore
Petrol,Hatchback,40000,Automatic,1,Mini,Mini 3 DOOR,2016,Cooper S BSVI,367500.0,2016,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Rear,Anti Lock Braking System,Brake Assist,Cd Player,17.33,1998,4.0,Bangalore
Petrol,Hatchback,60932,Manual,1,Tata,Tata Tiago,2019,XZ Plus,61000.0,2019,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,23.84,1199,5.0,Bangalore
Petrol,SUV,33539,Automatic,2,Kia,Kia Seltos,2020,GTX Plus DCT,167500.0,2020,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio,16.5,1353,5.0,Bangalore
Petrol,Hatchback,66837,Manual,2,Tata,Tata Tiago,2018,1.2 Revotron XZ WO Alloy,53000.0,2018,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,23.84,1199,,Bangalore
Diesel,Sedan,400,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,2022,AMG E 350d BSVI,799000.0,2022,Third Party,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio,2925.0,281.61,,Bangalore
Petrol,Hatchback,60000,Manual,2,Maruti,Maruti Alto,2008,LXi,25000.0,2008,Third Party insurance,Power Steering,Remote Trunk Opener,Air Conditioner,Heater,Manually Adjustable Exterior Rear View Mirror,Tinted Glass,Brake Assist,Halogen Headlamps,Usb Auxiliary Input,19.7,796,5.0,Bangalore
Petrol,Hatchback,44285,Manual,1,Hyundai,Hyundai i20,2019,Magna Plus BSIV,71500.0,2019,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,18.6,1197,,Bangalore
Diesel,SUV,100000,Automatic,2,Mercedes-Benz,Mercedes-Benz GL-Class,2014,350 CDI Blue Efficiency,350000.0,2014,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,11.3,2987,7.0,Bangalore
Diesel,SUV,25000,Automatic,1,Tata,Tata New Safari,2021,XZA Plus 6 Str AT BSVI,225000.0,2021,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,14.08,1956,6.0,Bangalore
Petrol,Hatchback,36735,Manual,1,Hyundai,Hyundai Grand i10,2018,1.2 Kappa Asta,62500.0,2019,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,18.9,1197,5.0,Bangalore
Diesel,SUV,79000,Automatic,1,Audi,Audi Q7,2015,35 TDI Quattro Premium Plus,269500.0,2015,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,12.07,2967,7.0,Bangalore
Diesel,SUV,120000,Manual,2,Mahindra,Mahindra Scorpio,2010,SLE BSIII,65000.0,2010,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,,12.05,2179,8.0,Bangalore
Petrol,Hatchback,10000,Automatic,1,Renault,Renault KWID,2022,1.0 RXT AMT Opt,55000.0,2022,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Radio,22.0,999,,Bangalore
Diesel,SUV,53645,Manual,1,Tata,Tata Nexon,2018,1.5 Revotorq XM,82500.0,2018,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Radio,21.5,1497,,Bangalore
Petrol,Hatchback,100000,Manual,2,Hyundai,Hyundai Getz,2006,GLS,22000.0,2006,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Child Safety Locks,Passenger Side Rear View Mirror,Cassette Player,15.3,1341,5.0,Bangalore
Petrol,Hatchback,53982,Automatic,1,Maruti,Maruti Celerio,2014,VXI AMT,42800.0,2014,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,,26.68,998,,Bangalore
Diesel,Sedan,110000,Manual,1,Skoda,Skoda Rapid,2014,1.5 TDI Ambition With Alloy Wheel,69500.0,2014,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,21.14,1498,5.0,Bangalore
Petrol,SUV,37741,Manual,2,Ford,Ford Ecosport,2019,1.5 Petrol Titanium,93000.0,2019,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,15.9,1496,5.0,Bangalore
Petrol,Hatchback,17367,Manual,1,Maruti,Maruti Alto 800,2021,VXI Plus BSVI,45500.0,2021,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Radio,22.05,796,,Bangalore
Diesel,SUV,94000,Manual,1,Hyundai,Hyundai Creta,2017,1.6 CRDi SX Plus,119500.0,2017,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,19.67,1582,5.0,Bangalore
Diesel,SUV,33700,Automatic,1,Tata,Tata Harrier,2021,XZA Plus AT,217500.0,2021,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,14.6,1956,5.0,Bangalore
Petrol,Hatchback,54601,Manual,3,Maruti,Maruti Swift,2014,VXI,44200.0,2014,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,Radio,22.38,1197,,Bangalore
Diesel,Hatchback,110000,Manual,1,Maruti,Maruti Swift,2018,VDI,69000.0,2018,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,Cd Player,28.4,1248,,Bangalore
Petrol,Hatchback,64000,Manual,2,Maruti,Maruti Celerio,2017,ZXI Optional,50000.0,2017,Third Party,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,23.1,998,5.0,Bangalore
Diesel,Sedan,40525,Automatic,1,BMW,BMW 3 Series GT,2016,Luxury Line,339500.0,2016,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,21.76,1995,5.0,Bangalore
Diesel,Sedan,100000,Manual,1,Maruti,Maruti Ciaz,2015,VDi Plus,65000.0,2015,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,26.21,1248,,Bangalore
Petrol,Hatchback,44154,Automatic,2,Honda,Honda Jazz,2016,1.2 V AT i VTEC,53700.0,2016,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,19.0,1199,5.0,Bangalore
Diesel,MUV,70000,Manual,1,Renault,Renault Lodgy,2016,110PS RxZ 7 Seater,75000.0,2016,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio,19.98,1461,7.0,Bangalore
Petrol,Sedan,79000,Automatic,1,Skoda,Skoda Octavia,2018,1.8 TSI AT L K,179000.0,2018,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,15.1,1798,5.0,Bangalore
Petrol,Hatchback,68039,Manual,2,Tata,Tata Tiago,2017,1.2 Revotron XT,46800.0,2018,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Cd Player,23.84,1199,,Bangalore
Petrol,Hatchback,60000,Manual,2,Maruti,Maruti Ritz,2014,VXi,42000.0,2014,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Centeral Locking,Power Door Locks,,18.5,1197,,Bangalore
Petrol,Hatchback,60000,Manual,2,Maruti,Maruti Ritz,2014,VXi,42000.0,2014,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Centeral Locking,Power Door Locks,,18.5,1197,,Bangalore
Petrol,Hatchback,10000,Manual,1,Hyundai,Hyundai i20,2021,Asta Turbo iMT DT,92000.0,2021,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,20.0,998,5.0,Bangalore
Petrol,Sedan,49873,Manual,1,Honda,Honda City,2013,V MT,53300.0,2013,Third Party,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,16.8,1497,5.0,Bangalore
Petrol,Hatchback,90000,Automatic,3,Volkswagen,Volkswagen Polo,2013,GT TSI,85000.0,2013,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,17.2,1197,5.0,Bangalore
Diesel,Sedan,48960,Manual,2,Skoda,Skoda Rapid,2017,1.5 TDI Ambition BSIV,75100.0,2017,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio,21.13,1498,5.0,Bangalore
Diesel,Hatchback,70000,Manual,2,Hyundai,Hyundai Grand i10,2014,CRDi Era,38800.0,2014,Third Party insurance,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Child Safety Locks,Day Night Rear View Mirror,,24.0,1120,,Bangalore
Petrol,Hatchback,68000,Manual,2,Hyundai,Hyundai i20,2013,Sportz 1.2,49000.0,2013,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,18.5,1197,5.0,Bangalore
Diesel,SUV,23017,Manual,1,Mahindra,Mahindra KUV 100,2016,mFALCON D75 K6,49400.00000000001,2016,Third Party,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Radio,25.32,1198,,Bangalore
Diesel,Hatchback,83000,Manual,2,Hyundai,Hyundai i20,2013,Asta 1.4 CRDi,52500.0,2014,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,21.27,1396,5.0,Bangalore
Diesel,SUV,92000,Automatic,2,BMW,BMW X3,2016,xDrive20d xLine,289000.0,2016,Comprehensive,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio,16.55,1995,5.0,Bangalore
