ft,km,transmission,ownerNo,oem,model,modelYear,variantName,price,Mileage kmpl,Engine CC,seater,City
Diesel,120000,Manual,2,Mahindra,Mahindra Scorpio,2010,SLE 7S BSIII,65000.0,12.05,2179.0,7.0,Bangalore
Petrol,40000,Automatic,1,Mini,Mini 3 DOOR,2016,Cooper S BSVI,367500.0,17.33,1998.0,4.0,Bangalore
Petrol,60932,Manual,1,Tata,Tata Tiago,2019,XZ Plus,61000.0,23.84,1199.0,5.0,Bangalore
Petrol,33539,Automatic,2,Kia,Kia Seltos,2020,GTX Plus DCT,167500.0,16.5,1353.0,5.0,Bangalore
Petrol,66837,Manual,2,Tata,Tata Tiago,2018,1.2 Revotron XZ WO Alloy,53000.0,23.84,1199.0,3.0,Bangalore
Diesel,400,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,2022,AMG E 350d BSVI,799000.0,2925.0,281.61,3.0,Bangalore
Petrol,60000,Manual,2,Maruti,Maruti Alto,2008,LXi,25000.0,19.7,796.0,5.0,Bangalore
Petrol,44285,Manual,1,Hyundai,Hyundai i20,2019,Magna Plus BSIV,71500.0,18.6,1197.0,3.0,Bangalore
Diesel,100000,Automatic,2,Mercedes-Benz,Mercedes-Benz GL-Class,2014,350 CDI Blue Efficiency,350000.0,11.3,2987.0,7.0,Bangalore
Diesel,25000,Automatic,1,Tata,Tata New Safari,2021,XZA Plus 6 Str AT BSVI,225000.0,14.08,1956.0,6.0,Bangalore
Petrol,36735,Manual,1,Hyundai,Hyundai Grand i10,2018,1.2 Kappa Asta,62500.0,18.9,1197.0,5.0,Bangalore
Diesel,79000,Automatic,1,Audi,Audi Q7,2015,35 TDI Quattro Premium Plus,269500.0,12.07,2967.0,7.0,Bangalore
Diesel,120000,Manual,2,Mahindra,Mahindra Scorpio,2010,SLE BSIII,65000.0,12.05,2179.0,8.0,Bangalore
Petrol,10000,Automatic,1,Renault,Renault KWID,2022,1.0 RXT AMT Opt,55000.0,22.0,999.0,3.0,Bangalore
Diesel,53645,Manual,1,Tata,Tata Nexon,2018,1.5 Revotorq XM,82500.0,21.5,1497.0,3.0,Bangalore
Petrol,100000,Manual,2,Hyundai,Hyundai Getz,2006,GLS,22000.0,15.3,1341.0,5.0,Bangalore
Petrol,53982,Automatic,1,Maruti,Maruti Celerio,2014,VXI AMT,42800.0,26.68,998.0,3.0,Bangalore
Diesel,110000,Manual,1,Skoda,Skoda Rapid,2014,1.5 TDI Ambition With Alloy Wheel,69500.0,21.14,1498.0,5.0,Bangalore
Petrol,37741,Manual,2,Ford,Ford Ecosport,2019,1.5 Petrol Titanium,93000.0,15.9,1496.0,5.0,Bangalore
Petrol,17367,Manual,1,Maruti,Maruti Alto 800,2021,VXI Plus BSVI,45500.0,22.05,796.0,3.0,Bangalore
Diesel,94000,Manual,1,Hyundai,Hyundai Creta,2017,1.6 CRDi SX Plus,119500.0,19.67,1582.0,5.0,Bangalore
Diesel,33700,Automatic,1,Tata,Tata Harrier,2021,XZA Plus AT,217500.0,14.6,1956.0,5.0,Bangalore
Petrol,54601,Manual,3,Maruti,Maruti Swift,2014,VXI,44200.0,22.38,1197.0,3.0,Bangalore
Diesel,110000,Manual,1,Maruti,Maruti Swift,2018,VDI,69000.0,28.4,1248.0,3.0,Bangalore
Petrol,64000,Manual,2,Maruti,Maruti Celerio,2017,ZXI Optional,50000.0,23.1,998.0,5.0,Bangalore
Diesel,40525,Automatic,1,BMW,BMW 3 Series GT,2016,Luxury Line,339500.0,21.76,1995.0,5.0,Bangalore
Diesel,100000,Manual,1,Maruti,Maruti Ciaz,2015,VDi Plus,65000.0,26.21,1248.0,3.0,Bangalore
Petrol,44154,Automatic,2,Honda,Honda Jazz,2016,1.2 V AT i VTEC,53700.0,19.0,1199.0,5.0,Bangalore
Diesel,70000,Manual,1,Renault,Renault Lodgy,2016,110PS RxZ 7 Seater,75000.0,19.98,1461.0,7.0,Bangalore
Petrol,79000,Automatic,1,Skoda,Skoda Octavia,2018,1.8 TSI AT L K,179000.0,15.1,1798.0,5.0,Bangalore
Petrol,68039,Manual,2,Tata,Tata Tiago,2017,1.2 Revotron XT,46800.0,23.84,1199.0,3.0,Bangalore
Petrol,60000,Manual,2,Maruti,Maruti Ritz,2014,VXi,42000.0,18.5,1197.0,3.0,Bangalore
Petrol,60000,Manual,2,Maruti,Maruti Ritz,2014,VXi,42000.0,18.5,1197.0,3.0,Bangalore
Petrol,10000,Manual,1,Hyundai,Hyundai i20,2021,Asta Turbo iMT DT,92000.0,20.0,998.0,5.0,Bangalore
Petrol,49873,Manual,1,Honda,Honda City,2013,V MT,53300.0,16.8,1497.0,5.0,Bangalore
Petrol,90000,Automatic,3,Volkswagen,Volkswagen Polo,2013,GT TSI,85000.0,17.2,1197.0,5.0,Bangalore
Diesel,48960,Manual,2,Skoda,Skoda Rapid,2017,1.5 TDI Ambition BSIV,75100.0,21.13,1498.0,5.0,Bangalore
Diesel,70000,Manual,2,Hyundai,Hyundai Grand i10,2014,CRDi Era,38800.0,24.0,1120.0,3.0,Bangalore
Petrol,68000,Manual,2,Hyundai,Hyundai i20,2013,Sportz 1.2,49000.0,18.5,1197.0,5.0,Bangalore
Diesel,23017,Manual,1,Mahindra,Mahindra KUV 100,2016,mFALCON D75 K6,49400.00000000001,25.32,1198.0,3.0,Bangalore
Diesel,83000,Manual,2,Hyundai,Hyundai i20,2013,Asta 1.4 CRDi,52500.0,21.27,1396.0,5.0,Bangalore
Diesel,92000,Automatic,2,BMW,BMW X3,2016,xDrive20d xLine,289000.0,16.55,1995.0,5.0,Bangalore
Petrol,62139,Manual,1,Maruti,Maruti Wagon R,2018,VXI Plus Optional,55000.0,20.51,998.0,3.0,Bangalore
Lpg,74000,Manual,1,Hyundai,Hyundai i10,2013,Magna LPG,36500.0,19.2,1086.0,5.0,Bangalore
Petrol,26500,Automatic,2,Renault,Renault KWID,2016,1.0 AMT RXT,42000.0,24.04,999.0,3.0,Bangalore
Diesel,81716,Automatic,1,Volvo,Volvo S60,2017,D4 KINETIC,189500.0,27.03,1969.0,5.0,Bangalore
Diesel,24000,Automatic,2,Mercedes-Benz,Mercedes-Benz E-Class,2018,E 350d,599000.0,17.0,2987.0,5.0,Bangalore
Petrol,10000,Automatic,1,Mahindra,Mahindra XUV300,2022,W6 AMT Sunroof BSVI,105000.0,17.0,1197.0,3.0,Bangalore
Petrol,18000,Automatic,1,MG,MG Hector Plus,2021,Sharp CVT,207500.0,16.56,1451.0,6.0,Bangalore
Petrol,38197,Manual,1,Honda,Honda Brio,2013,S MT,39400.0,19.4,1198.0,3.0,Bangalore
Petrol,23000,Automatic,2,Maruti,Maruti Baleno,2017,Zeta CVT,72500.0,19.56,1197.0,5.0,Bangalore
Petrol,50000,Manual,1,Maruti,Maruti Alto K10,2013,LXI,24000.0,20.92,998.0,5.0,Bangalore
Petrol,10000,Automatic,1,Renault,Renault Kiger,2022,RXZ AMT DT,83500.0,19.03,999.0,5.0,Bangalore
Petrol,19000,Manual,1,Hyundai,Hyundai Grand i10,2019,1.2 Kappa Asta,69500.0,18.9,1197.0,5.0,Bangalore
Petrol,14000,Automatic,1,Kia,Kia Seltos,2020,GTX Plus DCT,172500.0,16.5,1353.0,5.0,Bangalore
Petrol,29268,Manual,1,Hyundai,Hyundai EON,2014,Magna Plus,33000.0,21.1,814.0,3.0,Bangalore
Petrol,20000,Automatic,1,Volkswagen,Volkswagen Vento,2019,1.2 TSI Highline Plus AT,99000.0,18.19,1197.0,5.0,Bangalore
Petrol,30000,Manual,1,Toyota,Toyota Yaris,2018,G BSIV,75000.0,17.1,1496.0,3.0,Bangalore
Petrol,64374,Automatic,1,Honda,Honda Jazz,2018,1.2 V AT i VTEC,75500.0,19.0,1199.0,5.0,Bangalore
Diesel,30000,Manual,1,MG,MG Hector,2021,Sharp Diesel MT BSIV,175000.0,17.41,1956.0,5.0,Bangalore
Petrol,7100,Automatic,1,Hyundai,Hyundai Alcazar,2022,Signature (O) AT,208299.99999999997,14.2,1999.0,6.0,Bangalore
Petrol,43679,Manual,1,Hyundai,Hyundai i10,2010,Era 1.1 iTech SE,27100.0,19.81,1086.0,5.0,Bangalore
Petrol,40000,Automatic,1,Hyundai,Hyundai Creta,2018,1.6 SX Automatic,128000.0,14.8,1591.0,5.0,Bangalore
Diesel,40562,Manual,1,Hyundai,Hyundai i20,2012,Era 1.4 CRDi,43600.0,22.54,1396.0,5.0,Bangalore
Petrol,26500,Automatic,2,Hyundai,Hyundai Creta,2021,SX Opt Turbo DCT,167500.0,1397.0,138.12,3.0,Bangalore
Petrol,20000,Automatic,1,Hyundai,Hyundai Venue,2019,SX Plus Turbo DCT BSIV,125000.0,18.15,998.0,5.0,Bangalore
Diesel,58600,Automatic,1,Mahindra,Mahindra XUV500,2016,AT W8 FWD,135000.0,16.0,2179.0,7.0,Bangalore
Petrol,20000,Automatic,1,Hyundai,Hyundai Venue,2019,SX Plus Turbo DCT BSIV,125000.0,18.15,998.0,5.0,Bangalore
Petrol,42050,Automatic,1,Volkswagen,Volkswagen T-Roc,2020,TSI,222500.0,18.4,1498.0,5.0,Bangalore
Diesel,80000,Automatic,2,BMW,BMW 3 Series,2008,320d,60000.0,13.2,1995.0,5.0,Bangalore
Petrol,30000,Automatic,1,Jeep,Jeep Compass,2021,Model S DCT BSVI,245000.0,14.1,1368.0,5.0,Bangalore
Petrol,20000,Automatic,1,Kia,Kia Seltos,2020,GTX Plus DCT,162500.0,16.5,1353.0,5.0,Bangalore
Diesel,36349,Automatic,1,Skoda,Skoda Superb,2014,Elegance 2.0 TDI CR AT,165000.0,17.2,1968.0,5.0,Bangalore
Petrol,80000,Manual,3,Hyundai,Hyundai i10,2009,Sportz 1.2,24900.000000000004,20.36,1197.0,5.0,Bangalore
