ft,km,transmission,ownerNo,oem,model,modelYear,variantName,price,Mileage kmpl,Engine CC,seater,City
Petrol,98481,Manual,3,Maruti,Maruti Swift,2013,VXI,38000.0,22.38,1197.0,3.0,Chennai
Petrol,20000,Manual,1,Maruti,Maruti Baleno,2018,1.2 Alpha,70000.0,21.4,1197.0,5.0,Chennai
Diesel,100894,Automatic,2,Volkswagen,Volkswagen Vento,2016,1.5 TDI Highline AT,69200.0,22.15,1498.0,5.0,Chennai
Diesel,86215,Manual,1,Maruti,Maruti Swift,2016,VDI BSIV,59000.0,25.2,1248.0,3.0,Chennai
Diesel,120000,Manual,2,Ford,Ford Fiesta,2006,1.4 SXI Duratorq,12500.0,17.8,1399.0,3.0,Chennai
Petrol,98115,Manual,2,Volkswagen,Volkswagen Polo,2017,1.2 MPI Highline,52000.0,16.2,1199.0,5.0,Chennai
Petrol,47125,Manual,1,Maruti,Maruti Swift Dzire,2019,ZXi,69500.0,17.5,1298.0,5.0,Chennai
Petrol,4453,Manual,1,Maruti,Maruti Wagon R,2022,ZXI Plus Dual Tone BSVI,60700.0,23.56,1197.0,5.0,Chennai
Petrol,9991,Manual,1,Tata,Tata Punch,2022,Adventure BSVI,68800.0,20.09,1199.0,3.0,Chennai
Petrol,4564,Manual,1,Maruti,Maruti Wagon R,2021,VXI,66000.0,18.9,998.0,5.0,Chennai
Diesel,108713,Manual,1,Ford,Ford Figo,2012,Diesel Titanium,25000.0,20.0,1399.0,5.0,Chennai
Petrol,13000,Manual,1,Honda,Honda City,2021,VX MT,124500.0,18.6,1498.0,5.0,Chennai
Petrol,55450,Manual,2,Honda,Honda WR-V,2017,i-VTEC S,57500.0,17.5,1199.0,5.0,Chennai
Petrol,49000,Manual,1,Hyundai,Hyundai Creta,2016,1.6 VTVT SX Plus,84500.0,13.0,1591.0,5.0,Chennai
Petrol,86694,Manual,1,Hyundai,Hyundai Xcent,2015,1.2 VTVT S,40500.0,20.14,1197.0,3.0,Chennai
Diesel,150000,Manual,2,Maruti,Maruti Swift Dzire,2013,LDI,30000.0,23.4,1248.0,5.0,Chennai
Petrol,25284,Manual,0,Honda,Honda City,2019,V MT,92500.0,17.4,1497.0,5.0,Chennai
Petrol,30000,Manual,1,Toyota,Toyota Glanza,2021,G,75000.0,21.01,1197.0,5.0,Chennai
Diesel,109000,Automatic,2,BMW,BMW 3 Series,2015,320d Sport Line,130000.0,18.88,1995.0,5.0,Chennai
Petrol,4605,Manual,1,Kia,Kia Carens,2022,Luxury Plus Turbo 6 STR 2022-2023,171400.0,16.2,1353.0,6.0,Chennai
Petrol,49218,Manual,1,Kia,Kia Sonet,2020,HTX Turbo iMT BSVI,92800.0,18.2,998.0,5.0,Chennai
Petrol,45568,Manual,1,Honda,Honda City,2021,V MT,95000.0,18.6,1498.0,5.0,Chennai
Petrol,36035,Manual,1,Tata,Tata Punch,2022,Adventure BSVI,70200.0,20.09,1199.0,3.0,Chennai
Diesel,45242,Manual,1,Mahindra,Mahindra XUV300,2020,W4 Diesel BSVI,84500.0,20.1,1497.0,3.0,Chennai
Diesel,38000,Automatic,2,Land Rover,Land Rover Discovery Sport,2018,SD4 HSE Luxury 7S,347500.0,12.51,2179.0,7.0,Chennai
Petrol,52979,Automatic,1,Tata,Tata Tiago,2019,XZA,51300.0,23.84,1199.0,3.0,Chennai
Diesel,67130,Manual,2,Honda,Honda Amaze,2015,VX Diesel,57000.0,24.7,1498.0,5.0,Chennai
Petrol,19595,Manual,1,Honda,Honda BR-V,2018,i-VTEC VX MT,85100.0,15.4,1497.0,7.0,Chennai
Diesel,23183,Manual,1,Mahindra,Mahindra Scorpio N,2022,Z8L Diesel 4x4 BSVI,235000.0,2198.0,172.45,3.0,Chennai
Diesel,15000,Automatic,1,BMW,BMW 3 Series Gran Limousine,2022,320Ld Luxury Line,579000.0,19.62,1995.0,5.0,Chennai
Petrol,67558,Manual,1,Maruti,Maruti Celerio,2014,VXI,37000.0,23.1,998.0,3.0,Chennai
Petrol,40000,Manual,1,Hyundai,Hyundai Alcazar,2021,Signature Dual Tone,190000.0,14.5,1999.0,6.0,Chennai
Petrol,55664,Manual,1,Volkswagen,Volkswagen Polo,2014,1.2 MPI Highline,46000.0,16.47,1198.0,5.0,Chennai
Petrol,55664,Manual,1,Volkswagen,Volkswagen Polo,2014,1.2 MPI Highline,46000.0,16.47,1198.0,5.0,Chennai
Diesel,109324,Manual,1,Hyundai,Hyundai i20,2013,Magna 1.4 CRDi,36500.0,21.9,1396.0,5.0,Chennai
Diesel,118008,Automatic,1,Skoda,Skoda Kodiaq,2018,2.0 TDI Style,260000.0,16.25,1968.0,7.0,Chennai
Diesel,72000,Manual,1,Renault,Renault Duster,2016,110PS Diesel RxZ AWD,79000.0,19.72,1461.0,5.0,Chennai
Diesel,86630,Manual,1,Maruti,Maruti Swift,2013,VDI,45000.0,22.9,1248.0,5.0,Chennai
Petrol,82476,Manual,1,Maruti,Maruti Wagon R,2014,VXI BS IV,37000.0,20.51,998.0,3.0,Chennai
Petrol,27749,Automatic,2,Hyundai,Hyundai Grand i10 Nios,2019,AMT Sportz,66500.0,20.7,1197.0,5.0,Chennai
Petrol,21609,Automatic,1,Hyundai,Hyundai Venue,2020,SX Plus Turbo DCT DT,103600.0,18.15,998.0,5.0,Chennai
Petrol,89609,Manual,1,Honda,Honda City,2019,VTEC,87500.0,16.0,1493.0,5.0,Chennai
Diesel,83556,Manual,2,Ford,Ford Freestyle,2019,Ambiente Diesel,53900.0,24.4,1498.0,3.0,Chennai
Petrol,31513,Manual,1,Tata,Tata Punch,2022,Creative Kaziranga Edition,84700.0,20.09,1199.0,5.0,Chennai
Petrol,45939,Manual,1,Honda,Honda City,2016,SV MT,75500.0,17.4,1497.0,5.0,Chennai
Petrol,40531,Manual,1,Tata,Tata Tiago,2020,XE BSVI,49600.0,19.01,1199.0,3.0,Chennai
Diesel,120000,Manual,3,Mahindra,Mahindra Bolero,2009,DI AC BSIII,37500.0,13.6,2523.0,7.0,Chennai
Petrol,17663,Automatic,1,Maruti,Maruti Vitara Brezza,2020,ZXI Plus AT,100900.0,18.76,1462.0,5.0,Chennai
Petrol,77706,Manual,3,Hyundai,Hyundai Grand i10,2013,Sportz,33900.0,18.9,1197.0,3.0,Chennai
Diesel,49000,Automatic,1,Audi,Audi Q7,2016,45 TDI Quattro Premium Plus,490000.0,14.75,2967.0,7.0,Chennai
Diesel,60000,Automatic,1,Volvo,Volvo XC 90,2019,D5 Inscription,680000.0,17.2,1969.0,7.0,Chennai
Diesel,35000,Automatic,1,BMW,BMW 3 Series,2018,320d Luxury Line,340000.0,20.37,1995.0,5.0,Chennai
Diesel,54000,Automatic,1,Jaguar,Jaguar F-Pace,2018,Prestige 2.0 AWD,500000.0,16.38,1999.0,5.0,Chennai
Petrol,110000,Manual,1,Honda,Honda New Accord,2010,2.4 MT,51900.00000000001,12.8,2354.0,5.0,Chennai
Diesel,135000,Automatic,2,Audi,Audi Q7,2013,3.0 TDI quattro,215000.0,12.07,2967.0,7.0,Chennai
Diesel,80000,Automatic,1,Audi,Audi A4,2012,2.0 TDI Premium Sport Limited Edition,145000.0,17.11,1968.0,5.0,Chennai
Diesel,72020,Manual,1,Maruti,Maruti SX4 S Cross,2018,DDiS 200 Delta,82500.0,23.65,1248.0,3.0,Chennai
Diesel,98000,Manual,1,Toyota,Toyota Innova Crysta,2017,2.4 ZX MT BSIV,185000.0,13.68,2393.0,7.0,Chennai
Petrol,36385,Manual,0,Maruti,Maruti Alto,2007,LXi,16500.0,19.7,796.0,5.0,Chennai
Diesel,4259,Manual,1,Hyundai,Hyundai Alcazar,2022,Platinum 7-Seater Diesel BSVI,199100.0,20.4,1493.0,7.0,Chennai
Diesel,12925,Automatic,1,Tata,Tata Harrier,2021,XZA Plus Dark Edition AT 2020-2022,199400.0,14.6,1956.0,5.0,Chennai
Petrol,27000,Automatic,1,Volkswagen,Volkswagen Taigun,2022,1.5 TSI GT DSG,164500.0,17.88,1498.0,5.0,Chennai
Petrol,27425,Manual,2,Tata,Tata Nexon,2019,1.2 Revotron XZ Plus,71900.0,17.0,1198.0,5.0,Chennai
Petrol,13126,Automatic,1,Maruti,Maruti Celerio,2021,ZXI AMT,63300.0,26.0,998.0,3.0,Chennai
Petrol,57000,Manual,1,Maruti,Maruti Ertiga,2018,VXI Petrol,79900.0,19.34,1462.0,3.0,Chennai
Petrol,24500,Automatic,2,Maruti,Maruti Baleno,2020,1.2 CVT Alpha,86100.0,21.4,1197.0,5.0,Chennai
Petrol,40000,Manual,1,Maruti,Maruti Swift Dzire,2020,VXI BSVI,61000.0,22.41,1197.0,3.0,Chennai
Petrol,27216,Manual,1,Renault,Renault Triber,2021,RXZ,74900.0,20.0,999.0,3.0,Chennai
Petrol,12060,Manual,1,Tata,Tata Tiago,2021,XZ Plus BSVI,64800.00000000001,19.01,1199.0,5.0,Chennai
Diesel,150000,Manual,1,Maruti,Maruti Swift Dzire,2009,VDi,25000.0,19.3,1248.0,5.0,Chennai
Petrol,46931,Manual,2,Hyundai,Hyundai EON,2012,D Lite Plus,26500.0,21.1,814.0,3.0,Chennai
Petrol,60000,Manual,1,Volkswagen,Volkswagen Polo,2014,Petrol Highline 1.2L,49000.0,16.47,1198.0,5.0,Chennai
Petrol,45787,Manual,1,Kia,Kia Seltos,2020,GTX Plus,159000.0,16.5,1353.0,5.0,Chennai
Petrol,80000,Manual,2,Tata,Tata Indigo,2009,GLX,11399.999999999998,14.4,1396.0,5.0,Chennai
Diesel,44000,Manual,1,Honda,Honda Amaze,2014,S i-Dtech,47500.0,25.8,1498.0,3.0,Chennai
Petrol,4786,Automatic,1,Honda,Honda Amaze,2020,VX CVT Petrol,97300.0,18.3,1199.0,5.0,Chennai
Petrol,39024,Manual,1,Hyundai,Hyundai i20,2018,1.2 Asta,63000.0,18.6,1197.0,5.0,Chennai
Petrol,6000,Automatic,1,BMW,BMW 3 Series Gran Limousine,2022,330 Li Luxury Line,585000.0,15.3,1998.0,5.0,Chennai
Petrol,40000,Manual,1,Tata,Tata Nano,2014,Twist XT,15000.0,25.4,624.0,3.0,Chennai
Petrol,114386,Manual,1,Hyundai,Hyundai Creta,2018,1.6 E Plus,82700.0,15.8,1591.0,3.0,Chennai
Petrol,27369,Manual,1,Renault,Renault Triber,2022,RXZ BSVI,71500.0,20.0,999.0,3.0,Chennai
Diesel,58000,Manual,1,Toyota,Toyota Innova Crysta,2019,2.4 GX MT,210000.0,13.68,2393.0,7.0,Chennai
Petrol,16561,Manual,2,Hyundai,Hyundai Grand i10,2019,1.2 Kappa Sportz BSIV,56900.00000000001,18.9,1197.0,3.0,Chennai
Petrol,23328,Manual,1,Renault,Renault KWID,2021,Climber 1.0 MT Opt,49000.0,21.74,999.0,3.0,Chennai
Petrol,16473,Manual,1,Maruti,Maruti S-Presso,2020,VXI Plus 2019-2022,48500.0,21.7,998.0,3.0,Chennai
Petrol,46375,Manual,2,Honda,Honda Brio,2017,1.2 S MT,45199.99999999999,18.5,1198.0,3.0,Chennai
Petrol,16473,Manual,1,Maruti,Maruti S-Presso,2020,VXI Plus 2019-2022,48500.0,21.7,998.0,3.0,Chennai
Petrol,91799,Automatic,1,Maruti,Maruti Baleno,2017,1.2 CVT Zeta,62200.0,21.4,1197.0,5.0,Chennai
Petrol,38919,Manual,3,Hyundai,Hyundai i20,2016,Sportz 1.2,55400.0,18.6,1197.0,3.0,Chennai
Petrol,70235,Manual,1,Maruti,Maruti Wagon R,2016,VXI,37500.0,18.9,998.0,5.0,Chennai
Petrol,3989,Automatic,1,Honda,Honda Amaze,2020,VX CVT Petrol,96700.0,18.3,1199.0,5.0,Chennai
Diesel,91773,Manual,1,Honda,Honda Amaze,2015,S Diesel,47500.0,24.7,1498.0,3.0,Chennai
Petrol,60000,Manual,2,Maruti,Maruti Alto 800,2019,LXI,32000.0,22.05,796.0,3.0,Chennai
Petrol,28906,Manual,1,Honda,Honda Amaze,2018,VX Petrol,69500.0,18.6,1199.0,5.0,Chennai
Diesel,150000,Manual,1,Maruti,Maruti Celerio,2016,ZDi,35000.0,27.62,793.0,3.0,Chennai
Petrol,70000,Manual,3,Hyundai,Hyundai i20,2009,Asta,25000.0,17.0,1197.0,5.0,Chennai
Diesel,70000,Manual,1,Mahindra,Mahindra XUV500,2017,W10 AWD,125000.0,16.0,2179.0,7.0,Chennai
Petrol,43428,Manual,1,Maruti,Maruti Alto 800,2014,LXI,26000.0,22.74,796.0,3.0,Chennai
Diesel,67000,Manual,1,Chevrolet,Chevrolet Beat,2013,Diesel LS,28500.0,25.44,936.0,5.0,Chennai
Petrol,70528,Automatic,1,Maruti,Maruti Baleno,2017,1.2 CVT Zeta,61600.0,21.4,1197.0,5.0,Chennai
Petrol,35413,Manual,1,Hyundai,Hyundai i20,2016,Asta 1.2,59400.00000000001,18.6,1197.0,5.0,Chennai
Petrol,40000,Manual,2,Maruti,Maruti Alto 800,2018,VXI Optional,32000.0,24.7,796.0,3.0,Chennai
Petrol,66285,Automatic,1,Honda,Honda Jazz,2017,1.2 V AT i VTEC,64700.0,19.0,1199.0,5.0,Chennai
Petrol,83129,Automatic,1,Kia,Kia Seltos,2019,GTX Plus DCT,140000.0,16.5,1353.0,5.0,Chennai
Petrol,87055,Manual,1,Honda,Honda City,2016,SV MT,60000.0,17.4,1497.0,5.0,Chennai
Petrol,37218,Manual,2,Hyundai,Hyundai Grand i10,2019,1.2 Kappa Sportz BSIV,50500.0,18.9,1197.0,3.0,Chennai
Petrol,60000,Manual,1,Hyundai,Hyundai Venue,2019,SX Opt Turbo BSIV,90000.0,18.27,998.0,5.0,Chennai
Petrol,33640,Manual,1,Hyundai,Hyundai i20,2019,Asta Option BSIV,73000.0,18.6,1197.0,5.0,Chennai
Petrol,23608,Manual,1,Ford,Ford Freestyle,2020,Titanium,64800.00000000001,18.5,1194.0,5.0,Chennai
Petrol,22353,Manual,1,Hyundai,Hyundai i20,2013,Magna,43500.0,18.5,1197.0,5.0,Chennai
Diesel,120000,Automatic,1,Skoda,Skoda Rapid,2017,1.5 TDI AT Style BSIV,90000.0,21.72,1498.0,5.0,Chennai
Petrol,54241,Manual,1,Honda,Honda City,2018,i-VTEC S,74000.0,17.4,1497.0,3.0,Chennai
Petrol,86173,Manual,1,Maruti,Maruti Wagon R,2012,VXI,32000.0,21.79,998.0,3.0,Chennai
Petrol,91143,Manual,1,Hyundai,Hyundai i10,2011,Magna,29500.0,20.36,1197.0,5.0,Chennai
Diesel,36000,Manual,1,Mahindra,Mahindra TUV 300,2016,T8,79000.0,18.49,1493.0,7.0,Chennai
Petrol,108818,Manual,1,Honda,Honda City,2015,i VTEC SV,53000.0,17.4,1497.0,3.0,Chennai
Diesel,120000,Manual,2,Volkswagen,Volkswagen Polo,2011,Diesel Comfortline 1.2L,31500.0,22.07,1199.0,5.0,Chennai
Diesel,107000,Automatic,2,Mercedes-Benz,Mercedes-Benz C-Class,2008,220 CDI AT,85000.0,14.84,2143.0,5.0,Chennai
Petrol,90530,Manual,1,Honda,Honda City,2014,1.5 V MT Exclusive,57000.0,17.0,1497.0,5.0,Chennai
Petrol,77957,Manual,1,Hyundai,Hyundai i20,2016,Asta 1.2,57600.0,18.6,1197.0,5.0,Chennai
Petrol,81394,Manual,2,Hyundai,Hyundai Creta,2017,1.6 VTVT SX Plus,84200.0,13.0,1591.0,5.0,Chennai
Petrol,64341,Manual,1,Maruti,Maruti Ciaz,2017,ZXi,67500.0,20.73,1373.0,5.0,Chennai
Petrol,33407,Manual,1,Hyundai,Hyundai Grand i10,2017,1.2 Kappa Sportz Option,51800.0,18.9,1197.0,3.0,Chennai
Petrol,14811,Manual,1,Datsun,Datsun RediGO,2021,A,39700.0,20.71,799.0,3.0,Chennai
Petrol,37000,Manual,1,Skoda,Skoda Rapid,2017,1.6 MPI Style BSIV,77500.0,14.3,1598.0,5.0,Chennai
Diesel,49326,Manual,2,Jeep,Jeep Compass,2017,2.0 Longitude BSIV,116600.0,17.1,1956.0,5.0,Chennai
Petrol,120000,Manual,3,Honda,Honda New Accord,2009,2.4 Inspire M/T,45000.0,9.8,2354.0,5.0,Chennai
Petrol,4939,Automatic,1,Tata,Tata Tiago NRG,2022,XZA AMT BSVI,73200.0,20.09,1199.0,3.0,Chennai
Petrol,82620,Automatic,1,Ford,Ford Ecosport,2014,1.5 Ti VCT AT Titanium,57699.99999999999,16.5,1499.0,5.0,Chennai
Petrol,60000,Manual,2,Skoda,Skoda Superb,2009,1.8 TSI MT,60000.0,13.14,1798.0,5.0,Chennai
Diesel,86857,Manual,1,Volkswagen,Volkswagen Polo,2015,1.5 TDI Highline,51000.0,20.14,1498.0,5.0,Chennai
Diesel,70000,Automatic,3,Mercedes-Benz,Mercedes-Benz C-Class,2010,220 CDI AT,90000.0,14.84,2143.0,5.0,Chennai
Diesel,120000,Automatic,2,Audi,Audi Q7,2012,4.2 TDI Quattro Technology,150000.0,11.33,4134.0,7.0,Chennai
Petrol,14483,Automatic,1,Maruti,Maruti Wagon R,2022,VXI AT BSVI,62500.0,25.19,998.0,3.0,Chennai
Diesel,19000,Manual,1,Hyundai,Hyundai Creta,2022,E Diesel BSVI,127500.0,1493.0,113.98,3.0,Chennai
Petrol,36202,Manual,1,Ford,Ford Figo,2016,1.2P Trend MT,39500.0,18.16,1196.0,3.0,Chennai
Petrol,30000,Manual,1,Datsun,Datsun GO Plus,2017,T BSIV,32000.0,19.44,1198.0,3.0,Chennai
Diesel,70000,Manual,1,Ford,Ford Figo,2017,1.5 Sports Edition MT,45000.0,24.29,1498.0,5.0,Chennai
Petrol,20000,Manual,1,Hyundai,Hyundai Venue,2022,SX Opt Turbo iMT BSVI,108500.0,998.0,118.41,3.0,Chennai
Petrol,24077,Manual,1,Datsun,Datsun RediGO,2021,A,40000.0,20.71,799.0,3.0,Chennai
Diesel,81985,Manual,1,Maruti,Maruti Swift Dzire,2012,VDi,48500.0,19.3,1248.0,5.0,Chennai
Petrol,30000,Automatic,2,Maruti,Maruti Ertiga,2020,VXI AT,98500.0,17.99,1462.0,3.0,Chennai
Petrol,91841,Manual,1,Honda,Honda City,2017,i VTEC V,68100.0,17.8,1497.0,5.0,Chennai
Petrol,64961,Automatic,3,Ford,Ford Ecosport,2016,1.5 Ti VCT AT Titanium BSIV,62100.0,15.63,1499.0,5.0,Chennai
Petrol,20950,Automatic,1,Maruti,Maruti Alto K10,2018,VXI AMT,41000.0,23.95,998.0,3.0,Chennai
Petrol,94348,Manual,2,Hyundai,Hyundai i20,2016,Sportz 1.2,50500.0,18.6,1197.0,3.0,Chennai
Diesel,32000,Manual,1,Hyundai,Hyundai Venue,2022,SX Opt Diesel BSVI,129000.0,1493.0,113.45,3.0,Chennai
Petrol,51744,Manual,1,Hyundai,Hyundai i20,2019,Asta Option BSIV,70800.0,18.6,1197.0,5.0,Chennai
Diesel,81152,Automatic,2,Mahindra,Mahindra XUV500,2020,W11 Option AT BSIV,173400.0,15.1,2179.0,7.0,Chennai
Petrol,19516,Manual,1,Honda,Honda Amaze,2018,S Petrol,65000.0,18.6,1199.0,3.0,Chennai
Petrol,29093,Manual,1,Maruti,Maruti Swift,2021,VXI,76000.0,18.6,1197.0,5.0,Chennai
Diesel,54408,Automatic,1,Honda,Honda Amaze,2018,V CVT Diesel BSIV,78500.0,23.8,1498.0,3.0,Chennai
Petrol,16000,Manual,1,Maruti,Maruti Baleno,2019,Zeta,74500.0,21.01,1197.0,5.0,Chennai
Diesel,100000,Automatic,1,Ford,Ford Endeavour,2018,2.2 Titanium AT 4X2 Sunroof,200000.0,12.62,2198.0,7.0,Chennai
Petrol,56876,Manual,1,Datsun,Datsun RediGO,2016,T Option,27000.0,22.7,799.0,3.0,Chennai
Diesel,50000,Manual,1,Volkswagen,Volkswagen Polo,2014,Diesel Comfortline 1.2L,45000.0,22.07,1199.0,5.0,Chennai
Petrol,84505,Manual,2,Honda,Honda Amaze,2015,S Petrol,42000.0,18.6,1199.0,3.0,Chennai
Diesel,34000,Automatic,1,Toyota,Toyota Innova Crysta,2021,2.4 ZX 7 STR AT,279000.0,12.0,2393.0,7.0,Chennai
Petrol,22305,Manual,1,Maruti,Maruti Wagon R,2020,VXI,55000.0,21.79,998.0,3.0,Chennai
Petrol,33573,Manual,1,Renault,Renault KWID,2019,1.0 RXT Optional,42100.0,23.01,999.0,3.0,Chennai
Petrol,33615,Manual,1,Datsun,Datsun RediGO,2019,T Option,30299.999999999996,22.7,799.0,3.0,Chennai
Petrol,30000,Automatic,2,Honda,Honda Jazz,2018,VX CVT,78000.0,18.2,1199.0,5.0,Chennai
Petrol,34935,Manual,1,Tata,Tata Tigor,2020,XZ Plus,64300.0,20.3,1199.0,5.0,Chennai
Petrol,66511,Automatic,2,Maruti,Maruti Celerio,2018,ZXI Optional AMT BSIV,47400.0,23.1,998.0,3.0,Chennai
Petrol,24000,Automatic,1,Toyota,Toyota Camry,2021,2.5 Hybrid,420000.0,19.16,2494.0,5.0,Chennai
Petrol,68979,Manual,1,Maruti,Maruti Swift Dzire,2017,VXI 1.2,64400.00000000001,21.21,1197.0,3.0,Chennai
Petrol,50000,Manual,1,Maruti,Maruti Ertiga,2021,ZXI Plus,120000.0,19.01,1462.0,7.0,Chennai
Petrol,45161,Automatic,2,Maruti,Maruti Wagon R,2019,AMT VXI,51900.00000000001,20.51,998.0,3.0,Chennai
Diesel,42917,Manual,1,Ford,Ford Ecosport,2018,1.5 Diesel Titanium BSIV,81100.0,23.0,1498.0,5.0,Chennai
Petrol,20000,Manual,1,Maruti,Maruti Baleno,2019,Zeta,72500.0,21.01,1197.0,5.0,Chennai
Petrol,32000,Automatic,1,Maruti,Maruti Baleno,2018,Alpha CVT,72500.0,19.56,1197.0,5.0,Chennai
Diesel,40000,Manual,1,Hyundai,Hyundai i20,2019,Sportz Plus Diesel,75000.0,22.54,1396.0,5.0,Chennai
Petrol,29911,Manual,1,Honda,Honda City,2020,SV MT,95000.0,17.4,1497.0,5.0,Chennai
Petrol,23000,Automatic,1,Hyundai,Hyundai Verna,2018,VTVT 1.6 AT EX,92500.0,17.0,1591.0,5.0,Chennai
Diesel,100000,Manual,2,Tata,Tata Zest,2018,Quadrajet 1.3 75PS XE,52500.0,22.95,1248.0,3.0,Chennai
Diesel,42000,Manual,1,Toyota,Toyota Innova Crysta,2016,2.4 VX MT BSIV,187500.0,13.68,2393.0,7.0,Chennai
Diesel,58000,Automatic,1,Mercedes-Benz,Mercedes-Benz C-Class,2016,C 220 CDI Avantgarde,265000.0,19.27,2143.0,5.0,Chennai
Diesel,53764,Manual,1,Maruti,Maruti Swift,2015,VDI BSIV,55000.0,25.2,1248.0,3.0,Chennai
Petrol,61455,Manual,1,Hyundai,Hyundai Grand i10,2015,1.2 Kappa Asta,50000.0,18.9,1197.0,5.0,Chennai
Petrol,52732,Automatic,2,Jeep,Jeep Compass,2018,1.4 Limited,120900.0,16.0,1368.0,5.0,Chennai
Petrol,61159,Automatic,2,Honda,Honda Jazz,2017,1.2 V AT i VTEC,65600.0,19.0,1199.0,5.0,Chennai
Petrol,90000,Manual,2,Hyundai,Hyundai i20,2010,1.2 Asta,29500.0,17.0,1197.0,5.0,Chennai
Petrol,95296,Manual,1,Honda,Honda Amaze,2015,S i-Vtech,43099.99999999999,18.0,1198.0,3.0,Chennai
Petrol,106506,Manual,1,Hyundai,Hyundai Creta,2018,1.6 SX,89500.0,15.8,1591.0,5.0,Chennai
Diesel,70000,Automatic,2,BMW,BMW 5 Series,2012,525d,150000.0,16.73,1995.0,5.0,Chennai
Petrol,108551,Manual,2,Hyundai,Hyundai Grand i10,2015,Sportz,39200.0,18.9,1197.0,3.0,Chennai
Diesel,54186,Manual,1,Honda,Honda Amaze,2014,S i-Dtech,47000.0,25.8,1498.0,3.0,Chennai
Petrol,106848,Automatic,1,Honda,Honda Amaze,2018,V CVT Petrol BSIV,72600.0,19.0,1199.0,3.0,Chennai
Petrol,38464,Automatic,2,Volkswagen,Volkswagen Vento,2020,1.0 TSI Highline Plus AT,102300.0,16.35,999.0,5.0,Chennai
Petrol,59841,Manual,1,Maruti,Maruti Ignis,2017,Delta BSVI,50000.0,20.89,1197.0,3.0,Chennai
Diesel,3000,Automatic,1,Toyota,Toyota Fortuner,2023,4X2 Diesel AT BSVI,455000.0,2755.0,201.15,3.0,Chennai
Petrol,19649,Automatic,1,Hyundai,Hyundai Creta,2020,SX Opt Knight IVT BSVI,159000.0,1497.0,113.18,3.0,Chennai
Diesel,3300,Automatic,1,BMW,BMW 3 Series Gran Limousine,2021,320Ld Luxury Line,560000.0,19.62,1995.0,5.0,Chennai
Petrol,60000,Manual,3,Ford,Ford Mondeo,2003,Ghia Duratec,14000.0,9.0,1999.0,3.0,Chennai
Petrol,40000,Automatic,1,Hyundai,Hyundai Alcazar,2021,Platinum AT,190000.0,14.2,1999.0,6.0,Chennai
Petrol,27000,Automatic,1,Kia,Kia Seltos,2020,HTX IVT,142500.0,1497.0,113.43,3.0,Chennai
Petrol,20950,Automatic,1,Maruti,Maruti Alto K10,2018,VXI AMT,41000.0,23.95,998.0,3.0,Chennai
Diesel,50000,Manual,1,Jeep,Jeep Compass,2018,2.0 Longitude BSIV,125000.0,17.1,1956.0,5.0,Chennai
Petrol,39000,Manual,1,Tata,Tata Nano,2014,Twist XT,12500.0,25.4,624.0,3.0,Chennai
Petrol,55927,Manual,1,Hyundai,Hyundai Creta,2017,1.6 VTVT SX Plus Dual Tone,90300.0,15.29,1591.0,5.0,Chennai
Petrol,35325,Manual,2,Hyundai,Hyundai i20,2014,Magna 1.2,48800.0,18.6,1197.0,3.0,Chennai
Petrol,20000,Manual,2,Maruti,Maruti Baleno,2020,Delta,66000.0,21.01,1197.0,3.0,Chennai
Petrol,41248,Manual,1,Hyundai,Hyundai i20,2017,1.2 Asta Dual Tone,60400.0,18.6,1197.0,5.0,Chennai
Petrol,70076,Manual,1,Tata,Tata Tiago,2016,1.2 Revotron XZ,41700.0,23.84,1199.0,5.0,Chennai
Petrol,128398,Manual,1,Mahindra,Mahindra XUV300,2016,W8 BSVI,40500.0,16.82,1197.0,5.0,Chennai
Petrol,20973,Automatic,3,Maruti,Maruti Wagon R,2017,AMT VXI,44400.00000000001,20.51,998.0,3.0,Chennai
Petrol,90000,Manual,2,Maruti,Maruti Swift,2007,1.3 VXi,22000.0,16.1,1298.0,5.0,Chennai
Petrol,98807,Manual,1,Hyundai,Hyundai Aura,2020,E,61500.0,20.5,1197.0,3.0,Chennai
Petrol,102249,Manual,2,Honda,Honda Amaze,2015,S i-Vtech,39600.0,18.0,1198.0,3.0,Chennai
Petrol,18837,Automatic,1,Hyundai,Hyundai Grand i10,2018,AT Sportz,65000.0,18.9,1197.0,3.0,Chennai
Diesel,50000,Manual,1,Jeep,Jeep Compass,2018,2.0 Limited,140000.0,17.1,1956.0,5.0,Chennai
Petrol,120000,Manual,1,Hyundai,Hyundai EON,2012,Magna Plus,21000.0,21.1,814.0,3.0,Chennai
Diesel,19000,Automatic,1,Toyota,Toyota Innova Crysta,2021,2.4 GX 7 STR AT,247500.0,12.0,2393.0,7.0,Chennai
Petrol,10000,Manual,1,Maruti,Maruti Alto 800,2020,VXI Plus BSVI,40000.0,22.05,796.0,3.0,Chennai
Petrol,128876,Automatic,1,Maruti,Maruti Celerio,2015,VXi AMT,35000.0,21.63,998.0,3.0,Chennai
Petrol,37942,Manual,0,Maruti,Maruti Wagon R,2016,VXI Optional,43000.0,20.51,998.0,3.0,Chennai
Petrol,37300,Manual,1,Hyundai,Hyundai Grand i10,2018,1.2 Kappa Sportz BSIV,51500.0,18.9,1197.0,3.0,Chennai
