it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,centralVariantId,variantName,price,priceActual,priceSaving,priceFixedText,imgUrl,heading,description,Registration Year,Insurance_Type,Fuel,Seats,Kms Driven,RTO,Ownership,Engine Displacement,Transmission,Year_of_manufacture,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Mileage,Engine_spec,Power,Torque,wheel_dimension,seater,City
0,Petrol,Sedan,"1,00,000",Manual,1,1st Owner,Honda,Honda City,2015,1275,i VTEC SV,₹ 5.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2015,Third Party insurance,Petrol,5 Seats,"1,00,000 Kms",RJ14,First Owner,1497 cc,Manual,2015.0,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Radio,17.4 kmpl,1497 CC,117.3bhp,145Nm,5,,Jaipur
0,Diesel,Sedan,"95,000",Automatic,2,2nd Owner,Honda,Honda Amaze,2018,6422,V CVT Diesel BSIV,₹ 6.99 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Jul 2018,Comprehensive,Diesel,5 Seats,"95,000 Kms",RJ27,Second Owner,1498 cc,Automatic,2018.0,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,23.8 kmpl,1498 CC,78.9bhp,160Nm,5,,Jaipur
0,Diesel,Sedan,"69,000",Manual,1,1st Owner,Maruti,Maruti Swift Dzire,2018,5832,ZDI,₹ 7.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Jul 2018,Comprehensive,Diesel,5 Seats,"69,000 Kms",RJ45,First Owner,1248 cc,Manual,2018.0,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,28.4 kmpl,1248 CC,74.02bhp,190Nm,15,5,Jaipur
0,Petrol,Hatchback,"22,000",Manual,1,1st Owner,Maruti,Maruti Alto 800,2018,3921,LXI,₹ 3.25 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Nov 2018,Comprehensive,Petrol,5 Seats,"22,000 Kms",RJ45,First Owner,796 cc,Manual,2018.0,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Child Safety Locks,Passenger Side Rear View Mirror,,24.7 kmpl,796 CC,47.3bhp,69Nm,5,,Jaipur
0,Diesel,Sedan,"85,000",Automatic,2,2nd Owner,BMW,BMW 5 Series,2012,5293,520d Sedan,₹ 13 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2012,Third Party insurance,Diesel,5 Seats,"85,000 Kms",Second Owner,1995 cc,Automatic,2012,,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,18.48 kmpl,1995 CC,177 ,35.7 ,17,5,Jaipur
0,Diesel,SUV,"90,000",Automatic,2,2nd Owner,Skoda,Skoda Kodiaq,2017,5357,2.0 TDI Style,₹ 22.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2017,Third Party insurance,Diesel,7 Seats,"90,000 Kms",Second Owner,1968 cc,Automatic,2017,,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player,16.25 kmpl,1968 CC,148bhp,340nm,18,7,Jaipur
0,Diesel,SUV,"82,243",Automatic,1,1st Owner,BMW,BMW X5,2017,361,xDrive 30d,₹ 46 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Aug 2017,Comprehensive,Diesel,5 Seats,"82,243 Kms",RJ14,First Owner,2993 cc,Automatic,2017.0,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Dvd Player,15.3 kmpl,2993 CC,258bhp,560Nm,18,5,Jaipur
0,Petrol,Hatchback,"63,000",Manual,2,2nd Owner,Hyundai,Hyundai i20,2013,1654,Sportz 1.2,₹ 3.75 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Apr 2013,Comprehensive,Petrol,5 Seats,"63,000 Kms",RJ14,Second Owner,1197 cc,Manual,2013.0,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,18.5 kmpl,1197 CC,82.85bhp,113.7Nm,14,5,Jaipur
0,Diesel,Hatchback,"77,177",Manual,1,1st Owner,Maruti,Maruti Baleno,2016,3966,1.3 Delta,₹ 5.60 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Aug 2016,Comprehensive,Diesel,5 Seats,"77,177 Kms",RJ14,First Owner,1248 cc,Manual,2016.0,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Cd Player,27.39 kmpl,1248 CC,74bhp,190Nm,5,,Jaipur
0,Diesel,Sedan,"28,368",Manual,1,1st Owner,Volkswagen,Volkswagen Vento,2011,2012,Diesel Trendline,₹ 5.90 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Oct 2011,Comprehensive,Diesel,5 Seats,"28,368 Kms",RJ14,First Owner,1598 cc,Manual,2011.0,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Rear,Centeral Locking,Child Safety Locks,Radio,20.54 kmpl,1598 CC,103.6bhp,250Nm,14,5,Jaipur
0,Petrol,SUV,"40,000",Manual,1,1st Owner,Renault,Renault Kiger,2022,6894,RXE,₹ 5.55 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2022,Third Party insurance,Petrol,5 Seats,"40,000 Kms",RJ45,First Owner,999 cc,Manual,2022.0,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Child Safety Locks,,19.17 kmpl,999 CC,71.01bhp,96Nm,5,,Jaipur
0,Petrol,SUV,"9,690",Automatic,1,1st Owner,BMW,BMW X1,2022,7666,sDrive20i xLine,₹ 42 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Aug 2022,Comprehensive,Petrol,5 Seats,"9,690 Kms",RJ45,First Owner,1998 cc,Automatic,2022.0,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio,14.82 kmpl,1998 CC,189.08bhp,280nm,17,5,Jaipur
0,Petrol,Hatchback,"40,000",Manual,2,2nd Owner,Tata,Tata Nano,2011,2796,Lx,"₹ 60,000 ",,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2011,Third Party insurance,Petrol,4 Seats,"40,000 Kms",RJ02,Second Owner,624 cc,Manual,2011.0,Power Windows Front,Power Windows Rear,Air Conditioner,Heater,Fog Lights Front,Fog Lights Rear,Anti Lock Braking System,Centeral Locking,Cd Player,26 kmpl,624 CC,35 bhp,4.8 kgm,12,4,Jaipur
0,Petrol,Hatchback,"40,000",Manual,1,1st Owner,Maruti,Maruti Swift,2019,7084,VXI,₹ 6 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2019,Third Party insurance,Petrol,5 Seats,"40,000 Kms",First Owner,1197 cc,Manual,2019,,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,Cd Player,21.21 kmpl,1197 CC,81.80bhp,113Nm,5,,Jaipur
0,Petrol,Hatchback,"80,000",Manual,2,2nd Owner,Hyundai,Hyundai EON,2011,1492,Magna Optional,₹ 1.70 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2011,Third Party insurance,Petrol,5 Seats,"80,000 Kms",RJ37,Second Owner,814 cc,Manual,2011.0,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Centeral Locking,Child Safety Locks,Cd Player,21.1 kmpl,814 CC,55.2bhp,74.5Nm,13,5,Jaipur
0,Diesel,Hatchback,"62,761",Manual,1,1st Owner,Volkswagen,Volkswagen Polo,2014,1953,Diesel Comfortline 1.2L,₹ 3.43 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Aug 2014,Comprehensive,Diesel,5 Seats,"62,761 Kms",RJ14,First Owner,1199 cc,Manual,2014.0,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player,22.07 kmpl,1199 CC,73.9bhp,180Nm,15,5,Jaipur
0,Petrol,Hatchback,"45,075",Manual,1,1st Owner,Maruti,Maruti Wagon R,2019,7050,VXI 1.2,₹ 5.44 Lakh,₹ 5.55 Lakh,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Sept 2019,Zero Dep,Petrol,5 Seats,"45,075 Kms",RJ45,First Owner,1197 cc,Manual,2019.0,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Radio,20.52 kmpl,1197 CC,81.80bhp,113Nm,5,,Jaipur
0,Petrol,SUV,"36,882",Manual,1,1st Owner,Mahindra,Mahindra XUV300,2021,7241,W8 BSVI,₹ 9.90 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Feb 2021,Comprehensive,Petrol,5 Seats,"36,882 Kms",RJ45,First Owner,1197 cc,Manual,2021.0,Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Radio,16.82 kmpl,1197 CC,108.62bhp,200Nm,16,5,Jaipur
